Trial_Number,Trial_Name,Stages,Weights,Use_Evolution,Use_Novelty,Training_Epoch,Runtime_Seconds,Max_Error,Stability_Score,Success_Rate,N_Successful,N_Total,Steps_Per_Second,Composite_Score,Accuracy_Ratio,Efficiency_Ratio,Stability_Ratio,Novelty_Overall_Diff_From_RK4,Novelty_Is_Novel
baseline_rk4,RK4,4,Baseline: RK4,False,False,0,154.91110229492188,0.13992772233169767,0.0,0.8113,8113,10000,64.5531524329474,0.700278828223727,0.5652213955075435,0.4547581964310586,0,,
baseline_rk45_dormand_prince,RK45_Dormand_Prince,7,Baseline: RK45_Dormand_Prince,False,False,0,402.96074652671814,0.07909014248651422,0.0,0.8113,8113,10000,24.816312968928237,0.718246317376165,1.0,0.17482371197194246,0,,
baseline_gauss_legendre_2,Gauss_Legendre_2,2,Baseline: Gauss_Legendre_2,False,False,0,70.44709348678589,0.3303137081309066,0.0,0.8113,8113,10000,141.9504979559696,0.6062257454488431,0.2394394799236428,1.0,0,,
baseline_gauss_legendre_3,Gauss_Legendre_3,3,Baseline: Gauss_Legendre_3,False,False,0,111.19106030464172,8.3059757214515705e+211,0.0,0.8113,8113,10000,89.9352877164941,9.66119409188587e-213,9.522077253639293e-214,0.6335679621524847,0,,
8,trial_008_4stage_accuracy,4,"A:0.9, E:0.1, S:0.0",False,False,100,153.1557068824768,0.37665001150370475,0.0,0.8113,8113,10000,65.293028928223,0.5798979628725818,0.2099831144854121,0.4599704112941941,0,,
9,trial_009_4stage_efficiency,4,"A:0.2, E:0.8, S:0.0",False,False,100,150.6849398612976,0.37665001150370475,0.0,0.8113,8113,10000,66.36363268422707,0.580053653600312,0.2099831144854121,0.46751250358284635,0,,
10,trial_010_7stage_efficiency,7,"A:0.2, E:0.8, S:0.0",False,False,100,366.87059330940247,0.3736444235987091,0.0,0.8113,8113,10000,27.25756760658776,0.5664854025676627,0.21167221425323976,0.19202164134036745,0,,
12,trial_012_4stage_evolution,4,"A:0.7, E:0.2, S:0.1",True,False,100,145.64745116233826,0.13992772233169767,0.0,0.8113,8113,10000,68.65894267421149,0.7009301418418744,0.5652213955075435,0.483682295327405,0,,
13,trial_013_7stage_evolution,7,"A:0.7, E:0.2, S:0.1",True,False,100,364.32173252105713,0.07909014248651422,0.0,0.8113,8113,10000,27.448266483586778,0.7213324040287189,1.0,0.19336505950194496,0,,
14,trial_014_4stage_novelty,4,"A:0.7, E:0.2, S:0.1",True,True,100,145.7298400402069,0.13992772233169767,0.0,0.8113,8113,10000,68.62012609936988,0.7009171812537144,0.5652213955075435,0.48340884383973465,0,,
15,trial_015_4stage_unconstrained,4,"A:0.7, E:0.2, S:0.1",True,False,100,145.125590801239,0.13992772233169767,0.0,0.8113,8113,10000,68.905834903341,0.7009701384415045,0.5652213955075435,0.4854215793220698,0,,
16,trial_016_4stage_novelty_v2,4,"A:0.7, E:0.2, S:0.1",True,True,0,149.56485056877136,5577.048475687634,0.0,0.8113,8113,10000,66.86062909815769,0.00014317151767280603,1.4181361849604981e-05,0.4710136988663231,0,0.38906610040222916,True
